
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.0583221,,Surface,1,0,
0.0503924,,Surface,1,1,
0.0821327,,Surface,1,2,
0.301637,,Surface,1,3,
0.081694,,Surface,1,4,
0.563682,,Surface,1,5,
0.325913,,Surface,1,6,
0.0695123,,Surface,1,7,
0.0513336,,Surface,1,8,
0.05245,,Surface,1,9,
0.195026,,Surface,1,10,
0.0762541,,Surface,1,11,
0.229934,,Surface,1,12,
0.0403091,,Surface,1,13,
0.217565,,Surface,1,14,
0.255247,,Surface,1,15,
0.276991,,Surface,1,16,
0.127565,,Surface,1,17,
0.0702049,,Surface,1,18,
0.109147,,Surface,1,19,
0.0920227,,Surface,1,20,
0.296618,,Surface,1,21,
