
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
558,,Surface,3,Image 1,1,0,
840,,Surface,3,Image 1,1,1,
959,,Surface,3,Image 1,1,2,
826,,Surface,3,Image 1,1,3,
896,,Surface,3,Image 1,1,4,
791,,Surface,3,Image 1,1,5,
894,,Surface,3,Image 1,1,6,
733,,Surface,3,Image 1,1,7,
863,,Surface,3,Image 1,1,8,
720,,Surface,3,Image 1,1,9,
796,,Surface,3,Image 1,1,10,
866,,Surface,3,Image 1,1,11,
564,,Surface,3,Image 1,1,12,
664,,Surface,3,Image 1,1,13,
687,,Surface,3,Image 1,1,14,
684,,Surface,3,Image 1,1,15,
