
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
442.409,um,Surface,Distance from Origin,1,0,
381.402,um,Surface,Distance from Origin,1,1,
371.898,um,Surface,Distance from Origin,1,2,
325.506,um,Surface,Distance from Origin,1,3,
358.993,um,Surface,Distance from Origin,1,4,
286.531,um,Surface,Distance from Origin,1,5,
313.111,um,Surface,Distance from Origin,1,6,
287.794,um,Surface,Distance from Origin,1,7,
205.753,um,Surface,Distance from Origin,1,8,
207.301,um,Surface,Distance from Origin,1,9,
175.993,um,Surface,Distance from Origin,1,10,
189.624,um,Surface,Distance from Origin,1,11,
148.975,um,Surface,Distance from Origin,1,12,
111.695,um,Surface,Distance from Origin,1,13,
149.641,um,Surface,Distance from Origin,1,14,
71.2845,um,Surface,Distance from Origin,1,15,
