
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
920.61,,Surface,8,Image 1,1,0,
407.712,,Surface,8,Image 1,1,1,
0,,Surface,8,Image 1,1,2,
250.383,,Surface,8,Image 1,1,3,
618.668,,Surface,8,Image 1,1,4,
830.513,,Surface,8,Image 1,1,5,
1740.39,,Surface,8,Image 1,1,6,
617.616,,Surface,8,Image 1,1,7,
98.8026,,Surface,8,Image 1,1,8,
1239.35,,Surface,8,Image 1,1,9,
1850.48,,Surface,8,Image 1,1,10,
0,,Surface,8,Image 1,1,11,
830.689,,Surface,8,Image 1,1,12,
1230.71,,Surface,8,Image 1,1,13,
826.047,,Surface,8,Image 1,1,14,
247.852,,Surface,8,Image 1,1,15,
