
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.57861,,Surface,1,0,
0.452948,,Surface,1,1,
0.415093,,Surface,1,2,
0.467062,,Surface,1,3,
0.23913,,Surface,1,4,
0.524565,,Surface,1,5,
0.436778,,Surface,1,6,
0.29353,,Surface,1,7,
0.430267,,Surface,1,8,
0.596022,,Surface,1,9,
0.461128,,Surface,1,10,
0.563245,,Surface,1,11,
0.286978,,Surface,1,12,
0.565501,,Surface,1,13,
0.397164,,Surface,1,14,
0.628827,,Surface,1,15,
0.314086,,Surface,1,16,
0.34986,,Surface,1,17,
0.29298,,Surface,1,18,
0.223978,,Surface,1,19,
0.369881,,Surface,1,20,
0.293601,,Surface,1,21,
0.510852,,Surface,1,22,
0.385006,,Surface,1,23,
0.543549,,Surface,1,24,
