
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
412.866,um,Surface,Distance from Origin,1,0,
380.806,um,Surface,Distance from Origin,1,1,
381.02,um,Surface,Distance from Origin,1,2,
385.372,um,Surface,Distance from Origin,1,3,
408.382,um,Surface,Distance from Origin,1,4,
361.081,um,Surface,Distance from Origin,1,5,
366.339,um,Surface,Distance from Origin,1,6,
366.279,um,Surface,Distance from Origin,1,7,
339.685,um,Surface,Distance from Origin,1,8,
310.563,um,Surface,Distance from Origin,1,9,
317.681,um,Surface,Distance from Origin,1,10,
349.818,um,Surface,Distance from Origin,1,11,
329.718,um,Surface,Distance from Origin,1,12,
352.937,um,Surface,Distance from Origin,1,13,
282.98,um,Surface,Distance from Origin,1,14,
293.414,um,Surface,Distance from Origin,1,15,
287.712,um,Surface,Distance from Origin,1,16,
306.095,um,Surface,Distance from Origin,1,17,
262.692,um,Surface,Distance from Origin,1,18,
238.597,um,Surface,Distance from Origin,1,19,
221.014,um,Surface,Distance from Origin,1,20,
198.868,um,Surface,Distance from Origin,1,21,
122.323,um,Surface,Distance from Origin,1,22,
35.4481,um,Surface,Distance from Origin,1,23,
68.1893,um,Surface,Distance from Origin,1,24,
