
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
62,,Surface,2,Image 1,1,0,
79,,Surface,2,Image 1,1,1,
6,,Surface,2,Image 1,1,2,
19,,Surface,2,Image 1,1,3,
0,,Surface,2,Image 1,1,4,
10,,Surface,2,Image 1,1,5,
1,,Surface,2,Image 1,1,6,
61,,Surface,2,Image 1,1,7,
9,,Surface,2,Image 1,1,8,
12,,Surface,2,Image 1,1,9,
48,,Surface,2,Image 1,1,10,
0,,Surface,2,Image 1,1,11,
34,,Surface,2,Image 1,1,12,
3,,Surface,2,Image 1,1,13,
13,,Surface,2,Image 1,1,14,
17,,Surface,2,Image 1,1,15,
