
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
4.5722,um,Surface,Image 1,1,1,
6.26193,um,Surface,Image 1,1,2,
28.3132,um,Surface,Image 1,1,3,
63.1414,um,Surface,Image 1,1,4,
63.0422,um,Surface,Image 1,1,5,
70.3537,um,Surface,Image 1,1,6,
85.0346,um,Surface,Image 1,1,7,
0,um,Surface,Image 1,1,8,
0,um,Surface,Image 1,1,9,
75.5486,um,Surface,Image 1,1,10,
0,um,Surface,Image 1,1,11,
99.71,um,Surface,Image 1,1,12,
0,um,Surface,Image 1,1,13,
90.2099,um,Surface,Image 1,1,14,
133.292,um,Surface,Image 1,1,15,
108.955,um,Surface,Image 1,1,16,
11.5773,um,Surface,Image 1,1,17,
0,um,Surface,Image 1,1,18,
107.176,um,Surface,Image 1,1,19,
0.321786,um,Surface,Image 1,1,20,
9.2633,um,Surface,Image 1,1,21,
28.8539,um,Surface,Image 1,1,22,
9.25046,um,Surface,Image 1,1,23,
0,um,Surface,Image 1,1,24,
