
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
490.278,um,Surface,Distance from Origin,1,0,
419.496,um,Surface,Distance from Origin,1,1,
433.467,um,Surface,Distance from Origin,1,2,
378.266,um,Surface,Distance from Origin,1,3,
358.009,um,Surface,Distance from Origin,1,4,
337.446,um,Surface,Distance from Origin,1,5,
324.367,um,Surface,Distance from Origin,1,6,
303.544,um,Surface,Distance from Origin,1,7,
355.007,um,Surface,Distance from Origin,1,8,
352.702,um,Surface,Distance from Origin,1,9,
290.821,um,Surface,Distance from Origin,1,10,
333.22,um,Surface,Distance from Origin,1,11,
287.003,um,Surface,Distance from Origin,1,12,
330.009,um,Surface,Distance from Origin,1,13,
258.973,um,Surface,Distance from Origin,1,14,
236.792,um,Surface,Distance from Origin,1,15,
230.234,um,Surface,Distance from Origin,1,16,
272.939,um,Surface,Distance from Origin,1,17,
274.666,um,Surface,Distance from Origin,1,18,
185.827,um,Surface,Distance from Origin,1,19,
235.402,um,Surface,Distance from Origin,1,20,
219.902,um,Surface,Distance from Origin,1,21,
217.267,um,Surface,Distance from Origin,1,22,
191.93,um,Surface,Distance from Origin,1,23,
188.297,um,Surface,Distance from Origin,1,24,
