
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
346.08,347.152,9.28192,um,Surface,Position,1,0,
246.712,338.796,18.0733,um,Surface,Position,1,1,
292.164,319.757,17.0189,um,Surface,Position,1,2,
311.948,213.451,14.5712,um,Surface,Position,1,3,
275.393,228.532,10.0941,um,Surface,Position,1,4,
271.954,199.228,14.8113,um,Surface,Position,1,5,
185.916,265.592,10.5126,um,Surface,Position,1,6,
252.551,167.756,14.6562,um,Surface,Position,1,7,
340.691,99.0287,12.3441,um,Surface,Position,1,8,
41.0761,350.004,14.4268,um,Surface,Position,1,9,
266.353,116.271,10.6937,um,Surface,Position,1,10,
135.111,304.183,15.9159,um,Surface,Position,1,11,
202.14,203.406,11.6778,um,Surface,Position,1,12,
329.828,4.51533,9.93982,um,Surface,Position,1,13,
230.665,117.141,11.7771,um,Surface,Position,1,14,
156.425,176.92,17.3493,um,Surface,Position,1,15,
195.028,121.817,11.4991,um,Surface,Position,1,16,
27.2006,271.299,12.3485,um,Surface,Position,1,17,
273.836,18.0993,11.3043,um,Surface,Position,1,18,
142.389,118.31,16.1165,um,Surface,Position,1,19,
234.349,16.0315,15.4272,um,Surface,Position,1,20,
19.0171,218.688,13.0653,um,Surface,Position,1,21,
85.823,199.146,13.4299,um,Surface,Position,1,22,
24.0106,190.114,10.8349,um,Surface,Position,1,23,
187.387,13.8665,12.2301,um,Surface,Position,1,24,
