
Area
 ==================== 
Area,Unit,Category,Time,ID,
778.436,um^2,Surface,1,0,
752.261,um^2,Surface,1,1,
4597.47,um^2,Surface,1,2,
945.762,um^2,Surface,1,3,
909.49,um^2,Surface,1,4,
2793.69,um^2,Surface,1,5,
2238.22,um^2,Surface,1,6,
1518.45,um^2,Surface,1,7,
5950.46,um^2,Surface,1,8,
1603.44,um^2,Surface,1,9,
923.486,um^2,Surface,1,10,
14367.1,um^2,Surface,1,11,
13023.6,um^2,Surface,1,12,
1316.82,um^2,Surface,1,13,
4985.85,um^2,Surface,1,14,
3970.45,um^2,Surface,1,15,
1233.93,um^2,Surface,1,16,
1131.69,um^2,Surface,1,17,
5350.78,um^2,Surface,1,18,
1481.46,um^2,Surface,1,19,
2143.78,um^2,Surface,1,20,
954.844,um^2,Surface,1,21,
18459.5,um^2,Surface,1,22,
1819.34,um^2,Surface,1,23,
8124.6,um^2,Surface,1,24,
