
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
1008.62,um^3,Surface,1,0,
1034.15,um^3,Surface,1,1,
9318.89,um^3,Surface,1,2,
1160.76,um^3,Surface,1,3,
1039.24,um^3,Surface,1,4,
3924.65,um^3,Surface,1,5,
2756.58,um^3,Surface,1,6,
1763.15,um^3,Surface,1,7,
7737.1,um^3,Surface,1,8,
1921.42,um^3,Surface,1,9,
1119.15,um^3,Surface,1,10,
22200.1,um^3,Surface,1,11,
27909.7,um^3,Surface,1,12,
1249.67,um^3,Surface,1,13,
7857.57,um^3,Surface,1,14,
7343.43,um^3,Surface,1,15,
1178.97,um^3,Surface,1,16,
1050.46,um^3,Surface,1,17,
9257.97,um^3,Surface,1,18,
1683.75,um^3,Surface,1,19,
2427.09,um^3,Surface,1,20,
1178.17,um^3,Surface,1,21,
45567.3,um^3,Surface,1,22,
1732.99,um^3,Surface,1,23,
12581.1,um^3,Surface,1,24,
