
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
5525.85,,Surface,3,Image 1,1,0,
4089.48,,Surface,3,Image 1,1,1,
5113.41,,Surface,3,Image 1,1,2,
3867.41,,Surface,3,Image 1,1,3,
4882.44,,Surface,3,Image 1,1,4,
4487.57,,Surface,3,Image 1,1,5,
4018.14,,Surface,3,Image 1,1,6,
3643.09,,Surface,3,Image 1,1,7,
3755.31,,Surface,3,Image 1,1,8,
5246.22,,Surface,3,Image 1,1,9,
3663.82,,Surface,3,Image 1,1,10,
5016.25,,Surface,3,Image 1,1,11,
5239.53,,Surface,3,Image 1,1,12,
5678.74,,Surface,3,Image 1,1,13,
5429.18,,Surface,3,Image 1,1,14,
4988.24,,Surface,3,Image 1,1,15,
3439.21,,Surface,3,Image 1,1,16,
3689.49,,Surface,3,Image 1,1,17,
5493.12,,Surface,3,Image 1,1,18,
5233.84,,Surface,3,Image 1,1,19,
6479.47,,Surface,3,Image 1,1,20,
3004.51,,Surface,3,Image 1,1,21,
5433.25,,Surface,3,Image 1,1,22,
7517.85,,Surface,3,Image 1,1,23,
5127.24,,Surface,3,Image 1,1,24,
