
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
160.167,349.916,14.3248,um,Surface,Position,1,0,
176.139,267.873,15.1321,um,Surface,Position,1,1,
271.422,165.065,8.34306,um,Surface,Position,1,2,
298.48,259.503,11.5712,um,Surface,Position,1,3,
332.295,64.4616,10.2152,um,Surface,Position,1,4,
306.403,36.7506,19.7177,um,Surface,Position,1,5,
265.914,50.5455,8.16652,um,Surface,Position,1,6,
73.7107,181.576,16.625,um,Surface,Position,1,7,
191.639,123.246,11.5325,um,Surface,Position,1,8,
112.249,153.983,16.5369,um,Surface,Position,1,9,
104.725,101.146,18.954,um,Surface,Position,1,10,
198.026,46.5909,12.3527,um,Surface,Position,1,11,
77.3713,70.5334,19.2969,um,Surface,Position,1,12,
68.5394,14.9996,14.1615,um,Surface,Position,1,13,
