
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
3593,,Surface,4,Image 1,1,0,
3695,,Surface,4,Image 1,1,1,
3727,,Surface,4,Image 1,1,2,
3479,,Surface,4,Image 1,1,3,
3304,,Surface,4,Image 1,1,4,
4115,,Surface,4,Image 1,1,5,
2864,,Surface,4,Image 1,1,6,
3670,,Surface,4,Image 1,1,7,
2804,,Surface,4,Image 1,1,8,
2503,,Surface,4,Image 1,1,9,
4408,,Surface,4,Image 1,1,10,
3072,,Surface,4,Image 1,1,11,
3813,,Surface,4,Image 1,1,12,
3711,,Surface,4,Image 1,1,13,
