
Shortest Distance to Surfaces Surfaces=Surfaces 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
2.82621,,Surface,Surfaces 2,1,0,
1.37798,,Surface,Surfaces 2,1,1,
1.91014,,Surface,Surfaces 2,1,2,
0,,Surface,Surfaces 2,1,3,
0.164021,,Surface,Surfaces 2,1,4,
4.34632,,Surface,Surfaces 2,1,5,
0,,Surface,Surfaces 2,1,6,
1.74672,,Surface,Surfaces 2,1,7,
0,,Surface,Surfaces 2,1,8,
0.9945,,Surface,Surfaces 2,1,9,
2.61721,,Surface,Surfaces 2,1,10,
0,,Surface,Surfaces 2,1,11,
4.27403,,Surface,Surfaces 2,1,12,
0,,Surface,Surfaces 2,1,13,
