
Shortest Distance to Surfaces Surfaces=Surfaces 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
1.10642,,Surface,Surfaces 2,1,0,
0,,Surface,Surfaces 2,1,1,
0,,Surface,Surfaces 2,1,2,
0.209016,,Surface,Surfaces 2,1,3,
4.03247,,Surface,Surfaces 2,1,4,
0,,Surface,Surfaces 2,1,5,
0,,Surface,Surfaces 2,1,6,
0,,Surface,Surfaces 2,1,7,
1.76772,,Surface,Surfaces 2,1,8,
2.83385,,Surface,Surfaces 2,1,9,
1.8396,,Surface,Surfaces 2,1,10,
0.688073,,Surface,Surfaces 2,1,11,
