,Subject,Subject Name,ID,Intensity Median,Intensity Mean,Intensity Sum,Intensity StdDev,Intensity Min,Intensity Max,Volume,Surface Area,Sphericity,Intensity/Volume,Microglia Intensity_Sum
38,10,Abi3+/+_APPPS1,23,10789.1,11092.2,399940000,2561.39,4016,24189,1066.3,1201.39,0.420131,10.1182594,108895000
39,10,Abi3+/+_APPPS1,24,10923.5,13539.1,507607000,7509.93,3645,61151,1102.8,1146.57,0.45021,9.905241204,184675000
40,100,Abi3+/+_APPPS1,0,25585.2,32118.4,11353100000,18197.1,5538,65535,10651.1,5197.1,0.450457,2.402118091,2372500000
41,100,Abi3+/+_APPPS1,1,20853,27284.6,916844000,15963.1,6087,65535,1008.6,897.616,0.541842,20.67519334,236876000
42,100,Abi3+/+_APPPS1,2,24793.9,31464.1,16499000000,18182.9,4939,65535,15735.7,8920.9,0.340408,1.57564646,3347310000
43,100,Abi3+/+_APPPS1,3,18180.7,22407.4,830958000,11821,6179,65535,1099.66,1128.12,0.456701,16.5330193,168887000
44,100,Abi3+/+_APPPS1,4,21566.1,27866.3,4030890000,16124.2,5311,65535,4324.16,2566.35,0.500153,4.987350144,862645000
45,100,Abi3+/+_APPPS1,5,19400.4,21376.1,1511440000,7976.73,7110,59741,2104,1267,0.626718,9.220722433,297728000
46,100,Abi3+/+_APPPS1,6,30503.7,34518.6,2037840000,17526.7,6533,65535,1788.34,919.566,0.774821,17.0569914,348807000
47,100,Abi3+/+_APPPS1,7,28075.2,32582.2,2216890000,16883.5,7099,65535,2057.51,1133.5,0.69017,13.64523137,414971000
48,100,Abi3+/+_APPPS1,8,24174.5,29776.7,2207730000,16376.8,6178,65535,2233.56,1285.22,0.642941,10.8233045,518369000
49,100,Abi3+/+_APPPS1,9,23182.8,28773.4,6567130000,15808.2,5620,65535,6816.99,3520.78,0.493825,3.400738449,1423000000
50,100,Abi3+/+_APPPS1,10,21449.8,27327.6,11953000000,15140.1,6110,65535,13086.9,6522.46,0.411746,1.639028341,2716890000
51,100,Abi3+/+_APPPS1,11,19221.7,22644.5,772857000,10611.8,6110,65535,1016.41,846.232,0.577704,18.91136451,257474000
52,100,Abi3+/+_APPPS1,12,23705,27954.1,2868700000,13799.4,4963,65535,3059.27,1755.75,0.580454,7.748580544,655174000
53,100,Abi3+/+_APPPS1,13,25266.3,30586.9,5346320000,16572.3,5812,65535,5228.23,2463.25,0.591397,4.832668035,1146250000
54,100,Abi3+/+_APPPS1,14,22144.9,25323.2,5492760000,11453.3,5954,65535,6461.51,3209.97,0.522644,3.427202001,1092750000
55,100,Abi3+/+_APPPS1,15,19154.1,21895.1,1041960000,9264.69,5510,65535,1418.55,1200.72,0.50848,13.50259067,481826000
56,100,Abi3+/+_APPPS1,16,23252.4,26592.2,3424490000,12294.7,7382,65535,3844.98,1681.21,0.70598,6.047469688,894070000
57,100,Abi3+/+_APPPS1,17,22716.4,26639.6,5770160000,13166.6,5855,65535,6489.46,3120.93,0.539103,3.500506976,1310620000
58,101,Abi3KI/+_APPPS1,0,10409.1,16516,6586650000,14786.8,1944,65535,11925.5,5962.64,0.423346,0.872843906,1581600000
59,101,Abi3KI/+_APPPS1,1,9904.97,14641,8472300000,12693.2,2190,65535,17313.2,9721.58,0.332914,0.572105099,1753950000
60,101,Abi3KI/+_APPPS1,2,8443.03,9315.16,746927000,3499.59,2759,39659,2384.46,1783.66,0.483909,3.540856211,231376000
61,101,Abi3KI/+_APPPS1,3,9188.4,9808.11,540858000,3240.21,2490,26768,1662.68,1082.9,0.626759,5.526258811,110364000
62,101,Abi3KI/+_APPPS1,4,8806.04,11536.4,656709000,8376.29,2666,65535,1695.74,1385.87,0.496212,5.193036668,255805000
63,101,Abi3KI/+_APPPS1,5,9188.86,9943.14,535209000,3528.15,2829,33364,1606.81,1041.56,0.636957,5.718697295,132430000
64,101,Abi3KI/+_APPPS1,6,9922.5,15589.2,12730000000,14419.8,2326,65535,24418.5,11018.2,0.36942,0.406351742,3004620000
65,101,Abi3KI/+_APPPS1,7,8516.11,9100.9,344415000,3026.2,2229,28820,1115.79,962.365,0.540587,7.632359136,132275000
66,101,Abi3KI/+_APPPS1,8,9180.55,11500,618644000,6811.87,1294,60658,1626.11,2033.79,0.32881,5.645712775,255387000
67,101,Abi3KI/+_APPPS1,9,9750.68,14288.6,8982670000,12234.4,1946,65535,18753.1,9639.46,0.354117,0.519950302,1903290000
68,101,Abi3KI/+_APPPS1,10,10257.9,15957.9,13225400000,14215.7,1806,65535,24787.9,14217,0.28918,0.413826907,3034300000
69,101,Abi3KI/+_APPPS1,11,12012.5,19334.8,4274790000,16499.9,2122,65535,6624.27,3239.46,0.526547,1.813407364,857547000
70,101,Abi3KI/+_APPPS1,12,8288.86,9136.72,321229000,3517.13,2146,36169,1049.26,1217.17,0.410256,7.899719803,88867800
71,101,Abi3KI/+_APPPS1,13,10475.3,16848.5,14536800000,14969.7,2196,65535,25798.4,12309.7,0.343003,0.406044561,3357070000
72,101,Abi3KI/+_APPPS1,14,8577.55,9066.76,487783000,2748.5,2097,31805,1612.49,1145.74,0.580402,5.319443842,100628000
73,101,Abi3KI/+_APPPS1,15,10543.6,15589.7,703843000,11665,2505,65186,1352.39,1073.08,0.551129,7.796271786,192569000
74,101,Abi3KI/+_APPPS1,16,11264.9,17133,7502720000,13382.3,1487,65535,13085.4,6592.3,0.407355,0.86087548,1491170000
75,102,Abi3KI/+_APPPS1,0,7082.12,10110.6,2929540000,9027.57,1185,65535,8696.65,6335.14,0.322821,0.814350353,1060570000
76,102,Abi3KI/+_APPPS1,1,7915.71,9894.59,570502000,6098.98,1196,50566,1753.78,1346.43,0.522338,4.513513668,258415000
77,102,Abi3KI/+_APPPS1,2,8694.92,10700.6,960121000,6395.77,858,48854,2717.01,1777.53,0.529737,3.200179609,375901000
78,102,Abi3KI/+_APPPS1,3,7004.48,9383.86,1552020000,7807.89,620,65535,4963.21,4074.47,0.345346,1.4112802,540261000
79,102,Abi3KI/+_APPPS1,4,8729.48,14795.7,8299340000,14697.1,1173,65535,16809.5,7467.97,0.424931,0.519318243,1972130000
80,102,Abi3KI/+_APPPS1,5,8618.19,13963.1,1727170000,13431.5,1459,65535,3733.45,2554.96,0.45552,2.308371613,550188000
81,102,Abi3KI/+_APPPS1,6,8349.04,14862.4,2006050000,14973.7,1440,65535,4057.61,2636.89,0.466558,2.057625055,507444000
82,102,Abi3KI/+_APPPS1,7,8715.61,15127.6,11575100000,14909.4,1301,65535,22976.4,12017.6,0.325227,0.37932879,2845590000
83,102,Abi3KI/+_APPPS1,8,8553.19,13983,5853810000,13076.6,829,65535,12575.4,6355.19,0.411501,0.68015252,1668710000
84,102,Abi3KI/+_APPPS1,9,9347.95,16776.4,15477200000,16843.5,932,65535,27751.6,13186.2,0.336167,0.336843641,3494420000
85,102,Abi3KI/+_APPPS1,10,8284.16,14606.1,12696900000,15028.2,904,65535,26110.8,13218.1,0.322004,0.317269482,3304400000
86,102,Abi3KI/+_APPPS1,11,8877.4,15587.8,10145300000,14929.4,896,65535,19465.9,10044.2,0.348404,0.456048783,2906240000
87,103,Abi3KI/+_APPPS1,0,6313.77,7609.33,315194000,4216.81,839,36246,1248.07,1520.73,0.368631,5.058826829,154432000
88,103,Abi3KI/+_APPPS1,1,8752.8,13367.2,1078010000,10934.2,1257,65535,2419.19,1763.59,0.494159,3.618070511,305371000
89,103,Abi3KI/+_APPPS1,2,8564.8,14067.5,9624580000,13424.4,1127,65535,20525.4,8614.72,0.420827,0.417278104,1881580000
90,103,Abi3KI/+_APPPS1,3,7673.88,14388.7,10758200000,16170.8,1046,65535,22439,11847.9,0.324723,0.341988502,2788390000
91,103,Abi3KI/+_APPPS1,4,6501.96,7763.94,1124920000,4295.72,1071,46103,4359.98,4610.54,0.279934,1.49128207,392246000
92,103,Abi3KI/+_APPPS1,5,6858.64,8381.51,1120300000,4809.25,1054,44069,3995.53,3234.84,0.376427,1.716578276,409837000
93,103,Abi3KI/+_APPPS1,6,7932.6,10946.2,2248360000,7670.42,1077,50361,6138.05,3944.1,0.411045,1.292364839,576541000
94,103,Abi3KI/+_APPPS1,7,6976.81,8513.65,2658360000,5750.61,1022,65535,9422.4,7190.07,0.300049,0.740449355,1034950000
95,103,Abi3KI/+_APPPS1,8,7105.77,10561.1,517588000,9464.58,1098,65535,1468.86,1195.89,0.522534,4.837608758,203785000
96,103,Abi3KI/+_APPPS1,9,7436.17,10914.3,2898460000,9318.69,1015,65535,7942.96,5521.84,0.348649,0.93619633,1288870000
97,104,Abi3KI/+_APPPS1,0,8487.88,13144.3,8557180000,11684.7,1199,65535,19511.3,7935.53,0.441671,0.435023807,2196510000
98,104,Abi3KI/+_APPPS1,1,5104.97,5696.76,257049000,2359.13,1269,32775,1325.52,1909.53,0.305596,3.851296095,106256000
99,104,Abi3KI/+_APPPS1,2,7073.13,9192.91,683741000,5992.92,1381,57425,2229.85,1314.06,0.628135,3.172020539,247923000
100,104,Abi3KI/+_APPPS1,3,6846.36,10205.5,1678770000,9052.68,1398,65535,4921.84,2673.57,0.523371,1.391016368,447614000
101,104,Abi3KI/+_APPPS1,4,6871.1,9951.13,868693000,8013.29,1354,62272,2612.5,2069.09,0.443346,2.630086124,257819000
102,104,Abi3KI/+_APPPS1,5,5782.16,6271.15,239106000,2245.33,1325,19282,1139.04,1055.22,0.499842,5.076344992,71968000
103,104,Abi3KI/+_APPPS1,6,6812.31,10578.4,8786100000,10803.8,813,65535,24831.5,13349.8,0.308326,0.274341461,2968130000
104,104,Abi3KI/+_APPPS1,7,6285.72,7084.99,370594000,3067.46,1410,27488,1582.3,1110.38,0.591387,3.972521014,119182000
105,104,Abi3KI/+_APPPS1,8,8260.34,12503.8,3118340000,10392.8,1177,65535,7471.34,3270.24,0.565157,1.105603546,638177000
106,104,Abi3KI/+_APPPS1,9,8996.62,14158.5,3014880000,12644.7,1333,65535,6388.11,2689.42,0.619072,1.408338304,644180000
107,104,Abi3KI/+_APPPS1,10,5828.14,6881.41,275071000,3370.5,1362,32857,1194.04,931.422,0.584365,4.881025761,79685200
108,104,Abi3KI/+_APPPS1,11,5718.56,6306.26,575018000,2470.16,1443,25635,2707.53,2970.01,0.316306,2.112094788,217671000
109,104,Abi3KI/+_APPPS1,12,6163.52,6892.04,499638000,2975.45,1153,32566,2179.57,1499.86,0.542019,2.827860541,183574000
110,104,Abi3KI/+_APPPS1,13,5450.21,5811.14,381112000,1910.57,1439,21784,1949.93,1775.56,0.425103,2.795079823,128954000
111,104,Abi3KI/+_APPPS1,14,5702.89,6140.08,256913000,2164.47,1523,20993,1251.06,985.512,0.569738,4.558446437,92122900
112,104,Abi3KI/+_APPPS1,15,6485.86,8998.69,2180560000,6778.39,1256,60270,7270.46,4720.56,0.384472,0.892083857,625998000
113,104,Abi3KI/+_APPPS1,16,6735.61,8778.54,2084610000,6168.23,1149,61846,7138.83,4219.91,0.424879,0.943517355,744742000
114,104,Abi3KI/+_APPPS1,17,5647.5,6077.15,672437000,2095.02,1137,21473,3288.23,2840.1,0.376523,1.717489348,265565000
115,104,Abi3KI/+_APPPS1,18,7161.38,11564.9,5813640000,10937.2,1246,65535,15040.1,7942.38,0.370995,0.476152419,1673990000
116,104,Abi3KI/+_APPPS1,19,6280.6,8215.12,1722760000,5886.6,1225,52021,6258.43,4164,0.394412,1.003542422,547349000
117,104,Abi3KI/+_APPPS1,20,7001.3,11243.5,2717510000,10463.9,1370,65535,7251.99,4258.87,0.425429,0.965431557,1055630000
118,105,Abi3KI/+_APPPS1,0,6457.34,8782.98,403209000,6063.43,825,39680,1377.48,935.787,0.63978,4.6877922,127093000
119,105,Abi3KI/+_APPPS1,1,7099.02,9962.41,1658930000,7567.83,808,51194,4981.22,2623.37,0.53767,1.425156889,377136000
120,105,Abi3KI/+_APPPS1,2,5743.82,6623.48,657261000,3259.38,1005,31377,2994.16,2133.28,0.470926,1.918341037,187824000
121,105,Abi3KI/+_APPPS1,3,7707.11,12253.1,7457400000,10803.7,765,65535,18188.9,7897.63,0.423506,0.423726009,1301280000
122,105,Abi3KI/+_APPPS1,4,5370.34,6293.93,363682000,3118.68,1075,26984,1737.66,1211.05,0.577162,3.090558567,143020000
123,105,Abi3KI/+_APPPS1,5,5987.1,8429.67,774855000,6711.47,707,62111,2733.93,2006.64,0.471201,2.189924395,249344000
124,105,Abi3KI/+_APPPS1,6,6077.58,9702.43,851641000,9343.22,1039,65535,2636.8,1874.96,0.492279,2.304907464,436488000
125,105,Abi3KI/+_APPPS1,7,4726.09,4964.71,167047000,1603.9,1008,15450,1002.15,1060.15,0.456814,4.715950706,55787600
126,105,Abi3KI/+_APPPS1,8,4839.92,5598.53,374346000,2720.31,729,29478,2020.89,2060.4,0.375171,2.394944802,148411000
127,105,Abi3KI/+_APPPS1,9,5708.62,8574.23,1683980000,9110.94,685,65535,5944.3,4398.67,0.36077,0.960351934,476244000
128,105,Abi3KI/+_APPPS1,10,6058.48,7904.46,305768000,5144.63,1148,39632,1146.2,897.044,0.590443,5.2857093,136864000
129,105,Abi3KI/+_APPPS1,11,5101.52,5801.8,212793000,2647.94,1213,27347,1100.74,895.606,0.575648,4.634627614,85542700
130,105,Abi3KI/+_APPPS1,12,6217.12,10073.8,15858300000,10195.5,783,65535,47229.8,22499.9,0.280833,0.131635535,3455660000
131,105,Abi3KI/+_APPPS1,13,6684.83,10751.3,1602630000,10448.4,832,65535,4470.06,2281,0.57531,1.495467622,505706000
132,105,Abi3KI/+_APPPS1,14,6627.01,10864.8,2119630000,10404.9,692,65535,5890.69,4141.04,0.380907,1.124997241,557086000
133,105,Abi3KI/+_APPPS1,15,7327.73,11565.8,1548030000,10033.8,1220,63608,4009.19,1927.67,0.633124,1.827733283,329375000
134,105,Abi3KI/+_APPPS1,16,5473.29,6850.26,2418260000,4328.41,713,55488,10608.4,7858.68,0.297099,0.515939256,910545000
135,105,Abi3KI/+_APPPS1,17,6599.49,9286.57,1348330000,6973.89,1131,49476,4324.84,2766.98,0.463935,1.525950093,497542000
136,105,Abi3KI/+_APPPS1,18,6495.57,10161.4,11704600000,9009.37,809,65535,34458.7,16546.7,0.309483,0.188503049,2865280000
137,105,Abi3KI/+_APPPS1,19,5029.54,6077.39,511066000,3417.72,712,37307,2502.71,2355.82,0.378397,2.009637553,282658000
138,105,Abi3KI/+_APPPS1,20,6626.62,8893.55,1637380000,6093.87,780,42270,5473.87,2751.59,0.54588,1.21059141,484590000
139,105,Abi3KI/+_APPPS1,21,4555.32,4733.31,195945000,1358.42,1286,12286,1193.02,1174.11,0.463313,3.818309836,101255000
140,105,Abi3KI/+_APPPS1,22,6707.98,9419.47,3160050000,7212.27,796,57671,10053.5,5221.08,0.431454,0.667228328,935066000
141,105,Abi3KI/+_APPPS1,23,6828.62,9911.73,4990660000,7689.22,1038,55044,15000.5,7120.56,0.413087,0.455226159,1107400000
142,106,Abi3KI/+_APPPS1,0,18756.5,24977.8,1491800000,16034.4,3411,65535,1790.83,1572.05,0.453651,10.47363513,500593000
143,106,Abi3KI/+_APPPS1,1,16803.1,24683.7,11404900000,17488.1,3756,65535,13857.7,8596.41,0.324559,1.212546094,2946260000
144,106,Abi3KI/+_APPPS1,2,16071.9,20037.5,945812000,11096.6,4249,65535,1414.56,1107.94,0.550024,11.3617662,430785000
145,106,Abi3KI/+_APPPS1,3,13472.3,16601.5,688366000,9987.83,3652,65535,1261,1456.22,0.387617,10.68382236,224923000
146,106,Abi3KI/+_APPPS1,4,15748.4,22116.9,18941100000,15607.1,3947,65535,25655.5,13053.5,0.322263,0.613841087,4930940000
147,106,Abi3KI/+_APPPS1,5,15546.2,20263.4,1628690000,12779.5,3432,65535,2411.26,1640.59,0.530046,6.447334589,613775000
