
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
3.69424,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
0,um,Surface,Image 1,1,2,
0,um,Surface,Image 1,1,3,
8.17038,um,Surface,Image 1,1,4,
62.6889,um,Surface,Image 1,1,5,
66.5676,um,Surface,Image 1,1,6,
37.8313,um,Surface,Image 1,1,7,
86.5475,um,Surface,Image 1,1,8,
62.6742,um,Surface,Image 1,1,9,
38.2845,um,Surface,Image 1,1,10,
122.545,um,Surface,Image 1,1,11,
67.6469,um,Surface,Image 1,1,12,
19.8524,um,Surface,Image 1,1,13,
