
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
3643.17,,Surface,5,Image 1,1,0,
3165.96,,Surface,5,Image 1,1,1,
3872.57,,Surface,5,Image 1,1,2,
1578.91,,Surface,5,Image 1,1,3,
5114.76,,Surface,5,Image 1,1,4,
1729.35,,Surface,5,Image 1,1,5,
1625.7,,Surface,5,Image 1,1,6,
4120.96,,Surface,5,Image 1,1,7,
3162.48,,Surface,5,Image 1,1,8,
5629.25,,Surface,5,Image 1,1,9,
4235.32,,Surface,5,Image 1,1,10,
4931.31,,Surface,5,Image 1,1,11,
3666.93,,Surface,5,Image 1,1,12,
3305.96,,Surface,5,Image 1,1,13,
