
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
6621.59,,Surface,4,Image 1,1,0,
2845.53,,Surface,4,Image 1,1,1,
3539.22,,Surface,4,Image 1,1,2,
5746.57,,Surface,4,Image 1,1,3,
9207.73,,Surface,4,Image 1,1,4,
2144.66,,Surface,4,Image 1,1,5,
1651.27,,Surface,4,Image 1,1,6,
7536.18,,Surface,4,Image 1,1,7,
4415.6,,Surface,4,Image 1,1,8,
3053.6,,Surface,4,Image 1,1,9,
6021,,Surface,4,Image 1,1,10,
9420.6,,Surface,4,Image 1,1,11,
4674.68,,Surface,4,Image 1,1,12,
5110.73,,Surface,4,Image 1,1,13,
