
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
449.238,um,Surface,Distance from Origin,1,0,
417.707,um,Surface,Distance from Origin,1,1,
369.948,um,Surface,Distance from Origin,1,2,
370.964,um,Surface,Distance from Origin,1,3,
365.839,um,Surface,Distance from Origin,1,4,
348.779,um,Surface,Distance from Origin,1,5,
314.397,um,Surface,Distance from Origin,1,6,
321.855,um,Surface,Distance from Origin,1,7,
262.972,um,Surface,Distance from Origin,1,8,
271.288,um,Surface,Distance from Origin,1,9,
282.745,um,Surface,Distance from Origin,1,10,
260.334,um,Surface,Distance from Origin,1,11,
127.505,um,Surface,Distance from Origin,1,12,
160.921,um,Surface,Distance from Origin,1,13,
