
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1983.19,,Surface,8,Image 1,1,0,
693.8,,Surface,8,Image 1,1,1,
715.723,,Surface,8,Image 1,1,2,
27.7278,,Surface,8,Image 1,1,3,
1136.3,,Surface,8,Image 1,1,4,
346.944,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
623.722,,Surface,8,Image 1,1,7,
0,,Surface,8,Image 1,1,8,
0,,Surface,8,Image 1,1,9,
1331.24,,Surface,8,Image 1,1,10,
1070.1,,Surface,8,Image 1,1,11,
0,,Surface,8,Image 1,1,12,
0,,Surface,8,Image 1,1,13,
