
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0,,Surface,8,Image 1,1,0,
12.808,,Surface,8,Image 1,1,1,
67.634,,Surface,8,Image 1,1,2,
65.0452,,Surface,8,Image 1,1,3,
0,,Surface,8,Image 1,1,4,
100.581,,Surface,8,Image 1,1,5,
115.239,,Surface,8,Image 1,1,6,
0,,Surface,8,Image 1,1,7,
0,,Surface,8,Image 1,1,8,
2.79418,,Surface,8,Image 1,1,9,
104.973,,Surface,8,Image 1,1,10,
528.708,,Surface,8,Image 1,1,11,
0,,Surface,8,Image 1,1,12,
66.0714,,Surface,8,Image 1,1,13,
115.081,,Surface,8,Image 1,1,14,
0,,Surface,8,Image 1,1,15,
42.3745,,Surface,8,Image 1,1,16,
