
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
36.0486,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
68.1044,um,Surface,Image 1,1,2,
8.44064,um,Surface,Image 1,1,3,
62.1058,um,Surface,Image 1,1,4,
29.5409,um,Surface,Image 1,1,5,
61.228,um,Surface,Image 1,1,6,
138.697,um,Surface,Image 1,1,7,
7.47171,um,Surface,Image 1,1,8,
5.52322,um,Surface,Image 1,1,9,
0,um,Surface,Image 1,1,10,
55.4043,um,Surface,Image 1,1,11,
97.4613,um,Surface,Image 1,1,12,
96.3955,um,Surface,Image 1,1,13,
108.228,um,Surface,Image 1,1,14,
0,um,Surface,Image 1,1,15,
0,um,Surface,Image 1,1,16,
