
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
406.307,um,Surface,Distance from Origin,1,0,
422.922,um,Surface,Distance from Origin,1,1,
368.064,um,Surface,Distance from Origin,1,2,
369.891,um,Surface,Distance from Origin,1,3,
350.057,um,Surface,Distance from Origin,1,4,
337.201,um,Surface,Distance from Origin,1,5,
322.84,um,Surface,Distance from Origin,1,6,
280,um,Surface,Distance from Origin,1,7,
327.906,um,Surface,Distance from Origin,1,8,
328.146,um,Surface,Distance from Origin,1,9,
336.217,um,Surface,Distance from Origin,1,10,
282.387,um,Surface,Distance from Origin,1,11,
220.686,um,Surface,Distance from Origin,1,12,
256.968,um,Surface,Distance from Origin,1,13,
181.724,um,Surface,Distance from Origin,1,14,
179.062,um,Surface,Distance from Origin,1,15,
64.2529,um,Surface,Distance from Origin,1,16,
