
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
292.669,341.478,13.7098,um,Surface,Position,1,0,
306.62,244.989,12.148,um,Surface,Position,1,1,
295.69,146.52,11.4746,um,Surface,Position,1,2,
107.4,320.362,18.9485,um,Surface,Position,1,3,
183.266,240.997,9.5236,um,Surface,Position,1,4,
220.407,189.172,8.94955,um,Surface,Position,1,5,
227.511,139.336,10.2505,um,Surface,Position,1,6,
147.035,217.122,10.0967,um,Surface,Position,1,7,
165.994,174.203,12.731,um,Surface,Position,1,8,
76.2733,248.589,11.4693,um,Surface,Position,1,9,
132.772,144.845,9.49738,um,Surface,Position,1,10,
194.582,76.9858,9.33622,um,Surface,Position,1,11,
6.64503,239.337,20.823,um,Surface,Position,1,12,
141.56,71.3464,10.7084,um,Surface,Position,1,13,
45.0629,158.01,12.1564,um,Surface,Position,1,14,
4.97764,75.3043,13.9746,um,Surface,Position,1,15,
60.3751,45.4319,12.0328,um,Surface,Position,1,16,
7.72074,105.09,19.8842,um,Surface,Position,1,17,
