
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
449.945,um,Surface,Distance from Origin,1,0,
392.662,um,Surface,Distance from Origin,1,1,
330.2,um,Surface,Distance from Origin,1,2,
338.416,um,Surface,Distance from Origin,1,3,
302.914,um,Surface,Distance from Origin,1,4,
290.595,um,Surface,Distance from Origin,1,5,
266.984,um,Surface,Distance from Origin,1,6,
262.418,um,Surface,Distance from Origin,1,7,
240.962,um,Surface,Distance from Origin,1,8,
260.28,um,Surface,Distance from Origin,1,9,
196.72,um,Surface,Distance from Origin,1,10,
209.466,um,Surface,Distance from Origin,1,11,
240.333,um,Surface,Distance from Origin,1,12,
158.884,um,Surface,Distance from Origin,1,13,
164.759,um,Surface,Distance from Origin,1,14,
76.7516,um,Surface,Distance from Origin,1,15,
76.5114,um,Surface,Distance from Origin,1,16,
107.233,um,Surface,Distance from Origin,1,17,
