
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.475607,,Surface,1,0,
0.827981,,Surface,1,1,
0.519377,,Surface,1,2,
0.591125,,Surface,1,3,
0.624612,,Surface,1,4,
0.895833,,Surface,1,5,
0.584915,,Surface,1,6,
0.573034,,Surface,1,7,
0.522164,,Surface,1,8,
0.779813,,Surface,1,9,
0.468926,,Surface,1,10,
0.526094,,Surface,1,11,
0.631643,,Surface,1,12,
0.40285,,Surface,1,13,
0.687939,,Surface,1,14,
0.328089,,Surface,1,15,
0.723612,,Surface,1,16,
0.308226,,Surface,1,17,
