
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.63978,,Surface,1,0,
0.53767,,Surface,1,1,
0.470926,,Surface,1,2,
0.423506,,Surface,1,3,
0.577162,,Surface,1,4,
0.471201,,Surface,1,5,
0.492279,,Surface,1,6,
0.456814,,Surface,1,7,
0.375171,,Surface,1,8,
0.36077,,Surface,1,9,
0.590443,,Surface,1,10,
0.575648,,Surface,1,11,
0.280833,,Surface,1,12,
0.57531,,Surface,1,13,
0.380907,,Surface,1,14,
0.633124,,Surface,1,15,
0.297099,,Surface,1,16,
0.463935,,Surface,1,17,
0.309483,,Surface,1,18,
0.378397,,Surface,1,19,
0.54588,,Surface,1,20,
0.463313,,Surface,1,21,
0.431454,,Surface,1,22,
0.413087,,Surface,1,23,
