
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
393.932,um,Surface,Distance from Origin,1,0,
422.322,um,Surface,Distance from Origin,1,1,
310.231,um,Surface,Distance from Origin,1,2,
365.02,um,Surface,Distance from Origin,1,3,
332.903,um,Surface,Distance from Origin,1,4,
307.699,um,Surface,Distance from Origin,1,5,
300.9,um,Surface,Distance from Origin,1,6,
217.942,um,Surface,Distance from Origin,1,7,
232.296,um,Surface,Distance from Origin,1,8,
216.576,um,Surface,Distance from Origin,1,9,
228.201,um,Surface,Distance from Origin,1,10,
107.182,um,Surface,Distance from Origin,1,11,
