
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
46.2735,,Surface,8,Image 1,1,0,
255.629,,Surface,8,Image 1,1,1,
527.923,,Surface,8,Image 1,1,2,
200.105,,Surface,8,Image 1,1,3,
35.9099,,Surface,8,Image 1,1,4,
1579.36,,Surface,8,Image 1,1,5,
124.278,,Surface,8,Image 1,1,6,
741.748,,Surface,8,Image 1,1,7,
0,,Surface,8,Image 1,1,8,
0,,Surface,8,Image 1,1,9,
2562.95,,Surface,8,Image 1,1,10,
0,,Surface,8,Image 1,1,11,
857.725,,Surface,8,Image 1,1,12,
0,,Surface,8,Image 1,1,13,
626.364,,Surface,8,Image 1,1,14,
263.498,,Surface,8,Image 1,1,15,
894.527,,Surface,8,Image 1,1,16,
1668.51,,Surface,8,Image 1,1,17,
