
Intensity Mean Ch=7 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.221604,,Surface,7,Image 1,1,0,
7.03706,,Surface,7,Image 1,1,1,
37.3043,,Surface,7,Image 1,1,2,
5.60807,,Surface,7,Image 1,1,3,
0,,Surface,7,Image 1,1,4,
245.012,,Surface,7,Image 1,1,5,
6.52257,,Surface,7,Image 1,1,6,
70.8777,,Surface,7,Image 1,1,7,
0.833853,,Surface,7,Image 1,1,8,
0,,Surface,7,Image 1,1,9,
333.465,,Surface,7,Image 1,1,10,
0,,Surface,7,Image 1,1,11,
79.2534,,Surface,7,Image 1,1,12,
0,,Surface,7,Image 1,1,13,
45.0106,,Surface,7,Image 1,1,14,
11.9436,,Surface,7,Image 1,1,15,
63.0756,,Surface,7,Image 1,1,16,
168.725,,Surface,7,Image 1,1,17,
