
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.791957,,Surface,1,0,
0.576846,,Surface,1,1,
0.547259,,Surface,1,2,
0.557908,,Surface,1,3,
0.757099,,Surface,1,4,
0.646418,,Surface,1,5,
0.578171,,Surface,1,6,
0.725015,,Surface,1,7,
0.23259,,Surface,1,8,
0.512869,,Surface,1,9,
0.319491,,Surface,1,10,
0.549872,,Surface,1,11,
0.77918,,Surface,1,12,
0.403699,,Surface,1,13,
0.603366,,Surface,1,14,
0.459913,,Surface,1,15,
0.657983,,Surface,1,16,
0.79918,,Surface,1,17,
