
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
9883.29,,Surface,4,Image 1,1,0,
8764.64,,Surface,4,Image 1,1,1,
8213.9,,Surface,4,Image 1,1,2,
10285.6,,Surface,4,Image 1,1,3,
9905.34,,Surface,4,Image 1,1,4,
10667,,Surface,4,Image 1,1,5,
9632.34,,Surface,4,Image 1,1,6,
9557.09,,Surface,4,Image 1,1,7,
8176.05,,Surface,4,Image 1,1,8,
10854,,Surface,4,Image 1,1,9,
12340.2,,Surface,4,Image 1,1,10,
6245.66,,Surface,4,Image 1,1,11,
5883.25,,Surface,4,Image 1,1,12,
8635.51,,Surface,4,Image 1,1,13,
10121.7,,Surface,4,Image 1,1,14,
7041.42,,Surface,4,Image 1,1,15,
9278.87,,Surface,4,Image 1,1,16,
12001.8,,Surface,4,Image 1,1,17,
