
Shortest Distance to Surfaces Surfaces=Surfaces 1
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
0,um,Surface,Surfaces 1,1,0,
0,um,Surface,Surfaces 1,1,1,
0,um,Surface,Surfaces 1,1,2,
0,um,Surface,Surfaces 1,1,3,
0,um,Surface,Surfaces 1,1,4,
0,um,Surface,Surfaces 1,1,5,
0,um,Surface,Surfaces 1,1,6,
0,um,Surface,Surfaces 1,1,7,
0,um,Surface,Surfaces 1,1,8,
0,um,Surface,Surfaces 1,1,9,
0,um,Surface,Surfaces 1,1,10,
0,um,Surface,Surfaces 1,1,11,
0,um,Surface,Surfaces 1,1,12,
0,um,Surface,Surfaces 1,1,13,
0,um,Surface,Surfaces 1,1,14,
0,um,Surface,Surfaces 1,1,15,
0,um,Surface,Surfaces 1,1,16,
0,um,Surface,Surfaces 1,1,17,
0,um,Surface,Surfaces 1,1,18,
