
Area
 ==================== 
Area,Unit,Category,Time,ID,
3507.77,um^2,Surface,1,0,
1606.51,um^2,Surface,1,1,
7796.74,um^2,Surface,1,2,
1895.2,um^2,Surface,1,3,
5549.19,um^2,Surface,1,4,
2288.81,um^2,Surface,1,5,
1294.45,um^2,Surface,1,6,
1828.48,um^2,Surface,1,7,
4015.8,um^2,Surface,1,8,
22539.4,um^2,Surface,1,9,
4207.32,um^2,Surface,1,10,
1105.39,um^2,Surface,1,11,
7749.82,um^2,Surface,1,12,
17001.7,um^2,Surface,1,13,
1300.8,um^2,Surface,1,14,
1289.7,um^2,Surface,1,15,
2875.52,um^2,Surface,1,16,
15945.6,um^2,Surface,1,17,
1934.27,um^2,Surface,1,18,
