
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.261792,,Surface,1,0,
0.423974,,Surface,1,1,
0.187935,,Surface,1,2,
0.394816,,Surface,1,3,
0.323703,,Surface,1,4,
0.371055,,Surface,1,5,
0.348777,,Surface,1,6,
0.0934247,,Surface,1,7,
0.0961015,,Surface,1,8,
0.0814005,,Surface,1,9,
0.140155,,Surface,1,10,
0.382568,,Surface,1,11,
0.316608,,Surface,1,12,
0.0856759,,Surface,1,13,
0.203815,,Surface,1,14,
0.194947,,Surface,1,15,
0.0449304,,Surface,1,16,
0.119383,,Surface,1,17,
0.306521,,Surface,1,18,
