
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.06917e+09,,Surface,1,Image 1,1,0,
7.62902e+07,,Surface,1,Image 1,1,1,
2.20527e+09,,Surface,1,Image 1,1,2,
7.16165e+08,,Surface,1,Image 1,1,3,
1.22153e+08,,Surface,1,Image 1,1,4,
1.33905e+09,,Surface,1,Image 1,1,5,
3.42943e+08,,Surface,1,Image 1,1,6,
1.26989e+08,,Surface,1,Image 1,1,7,
1.77009e+08,,Surface,1,Image 1,1,8,
1.33852e+08,,Surface,1,Image 1,1,9,
3.18644e+09,,Surface,1,Image 1,1,10,
7.96077e+07,,Surface,1,Image 1,1,11,
2.14885e+08,,Surface,1,Image 1,1,12,
4.72717e+09,,Surface,1,Image 1,1,13,
4.05881e+09,,Surface,1,Image 1,1,14,
2.69451e+08,,Surface,1,Image 1,1,15,
