
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
951,,Surface,4,Image 1,1,0,
1306,,Surface,4,Image 1,1,1,
1199,,Surface,4,Image 1,1,2,
1139,,Surface,4,Image 1,1,3,
1371,,Surface,4,Image 1,1,4,
1144,,Surface,4,Image 1,1,5,
1606,,Surface,4,Image 1,1,6,
1629,,Surface,4,Image 1,1,7,
951,,Surface,4,Image 1,1,8,
1605,,Surface,4,Image 1,1,9,
1056,,Surface,4,Image 1,1,10,
1459,,Surface,4,Image 1,1,11,
1592,,Surface,4,Image 1,1,12,
977,,Surface,4,Image 1,1,13,
1334,,Surface,4,Image 1,1,14,
1264,,Surface,4,Image 1,1,15,
