
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
327.411,311.406,25.2577,um,Surface,Position,1,0,
274.626,294.14,38.7456,um,Surface,Position,1,1,
191.301,325.204,25.717,um,Surface,Position,1,2,
210.088,261.082,40.5163,um,Surface,Position,1,3,
173.701,254.241,36.7158,um,Surface,Position,1,4,
267.984,129.559,30.5157,um,Surface,Position,1,5,
156.225,169.983,39.139,um,Surface,Position,1,6,
200.924,139.453,27.5532,um,Surface,Position,1,7,
93.0473,207.587,38.11,um,Surface,Position,1,8,
117.196,170.299,31.0892,um,Surface,Position,1,9,
65.8327,174.764,41.5094,um,Surface,Position,1,10,
12.1155,208.58,28.7444,um,Surface,Position,1,11,
37.178,108.091,34.059,um,Surface,Position,1,12,
