
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.23746e+09,,Surface,4,Image 1,1,0,
2.61619e+09,,Surface,4,Image 1,1,1,
1.38085e+09,,Surface,4,Image 1,1,2,
2.03836e+09,,Surface,4,Image 1,1,3,
2.19539e+09,,Surface,4,Image 1,1,4,
2.95692e+09,,Surface,4,Image 1,1,5,
7.03408e+08,,Surface,4,Image 1,1,6,
2.26322e+09,,Surface,4,Image 1,1,7,
3.67622e+09,,Surface,4,Image 1,1,8,
3.71343e+09,,Surface,4,Image 1,1,9,
5.05161e+08,,Surface,4,Image 1,1,10,
4.02823e+09,,Surface,4,Image 1,1,11,
1.40913e+09,,Surface,4,Image 1,1,12,
