
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1025.11,,Surface,5,Image 1,1,0,
1385.64,,Surface,5,Image 1,1,1,
1829.74,,Surface,5,Image 1,1,2,
2197.57,,Surface,5,Image 1,1,3,
2201.4,,Surface,5,Image 1,1,4,
3738.22,,Surface,5,Image 1,1,5,
5017.55,,Surface,5,Image 1,1,6,
3680.56,,Surface,5,Image 1,1,7,
2034.71,,Surface,5,Image 1,1,8,
2521.76,,Surface,5,Image 1,1,9,
3692.07,,Surface,5,Image 1,1,10,
2423.55,,Surface,5,Image 1,1,11,
2212.85,,Surface,5,Image 1,1,12,
