
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
4.02996e+08,,Surface,3,Image 1,1,0,
5.05082e+08,,Surface,3,Image 1,1,1,
3.02988e+08,,Surface,3,Image 1,1,2,
6.45349e+08,,Surface,3,Image 1,1,3,
4.45718e+08,,Surface,3,Image 1,1,4,
5.65539e+08,,Surface,3,Image 1,1,5,
2.81945e+08,,Surface,3,Image 1,1,6,
7.70751e+08,,Surface,3,Image 1,1,7,
7.68054e+08,,Surface,3,Image 1,1,8,
7.05776e+08,,Surface,3,Image 1,1,9,
2.85589e+08,,Surface,3,Image 1,1,10,
9.42037e+08,,Surface,3,Image 1,1,11,
3.60726e+08,,Surface,3,Image 1,1,12,
