
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.583778,,Surface,1,0,
0.540218,,Surface,1,1,
0.689607,,Surface,1,2,
0.252934,,Surface,1,3,
0.656525,,Surface,1,4,
0.870738,,Surface,1,5,
0.528891,,Surface,1,6,
0.759428,,Surface,1,7,
0.345934,,Surface,1,8,
0.749476,,Surface,1,9,
0.650457,,Surface,1,10,
0.641888,,Surface,1,11,
0.682664,,Surface,1,12,
0.484606,,Surface,1,13,
0.599831,,Surface,1,14,
0.52078,,Surface,1,15,
0.388077,,Surface,1,16,
0.571187,,Surface,1,17,
0.803267,,Surface,1,18,
0.285638,,Surface,1,19,
0.470196,,Surface,1,20,
