
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
764.325,,Surface,6,Image 1,1,0,
693.798,,Surface,6,Image 1,1,1,
759.946,,Surface,6,Image 1,1,2,
232.236,,Surface,6,Image 1,1,3,
553.417,,Surface,6,Image 1,1,4,
727.73,,Surface,6,Image 1,1,5,
598.102,,Surface,6,Image 1,1,6,
390.015,,Surface,6,Image 1,1,7,
886.98,,Surface,6,Image 1,1,8,
502.576,,Surface,6,Image 1,1,9,
688.005,,Surface,6,Image 1,1,10,
272.704,,Surface,6,Image 1,1,11,
401.19,,Surface,6,Image 1,1,12,
409.586,,Surface,6,Image 1,1,13,
580.339,,Surface,6,Image 1,1,14,
814.263,,Surface,6,Image 1,1,15,
1206.64,,Surface,6,Image 1,1,16,
1096.9,,Surface,6,Image 1,1,17,
598.273,,Surface,6,Image 1,1,18,
783.781,,Surface,6,Image 1,1,19,
283.526,,Surface,6,Image 1,1,20,
