
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
30,,Surface,2,Image 1,1,0,
11,,Surface,2,Image 1,1,1,
15,,Surface,2,Image 1,1,2,
9,,Surface,2,Image 1,1,3,
25,,Surface,2,Image 1,1,4,
63,,Surface,2,Image 1,1,5,
18,,Surface,2,Image 1,1,6,
16,,Surface,2,Image 1,1,7,
19,,Surface,2,Image 1,1,8,
3,,Surface,2,Image 1,1,9,
12,,Surface,2,Image 1,1,10,
17,,Surface,2,Image 1,1,11,
11,,Surface,2,Image 1,1,12,
3,,Surface,2,Image 1,1,13,
7,,Surface,2,Image 1,1,14,
55,,Surface,2,Image 1,1,15,
8,,Surface,2,Image 1,1,16,
17,,Surface,2,Image 1,1,17,
6,,Surface,2,Image 1,1,18,
44,,Surface,2,Image 1,1,19,
0,,Surface,2,Image 1,1,20,
