
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
7.11267e+07,,Surface,2,Image 1,1,0,
5.65439e+08,,Surface,2,Image 1,1,1,
3.25092e+08,,Surface,2,Image 1,1,2,
3.13409e+08,,Surface,2,Image 1,1,3,
3.67223e+08,,Surface,2,Image 1,1,4,
1.09299e+08,,Surface,2,Image 1,1,5,
2.4334e+08,,Surface,2,Image 1,1,6,
1.03396e+08,,Surface,2,Image 1,1,7,
1.09141e+08,,Surface,2,Image 1,1,8,
8.39998e+08,,Surface,2,Image 1,1,9,
6.01079e+08,,Surface,2,Image 1,1,10,
9.55494e+07,,Surface,2,Image 1,1,11,
1.12854e+08,,Surface,2,Image 1,1,12,
3.18148e+08,,Surface,2,Image 1,1,13,
5.22781e+08,,Surface,2,Image 1,1,14,
5.58308e+07,,Surface,2,Image 1,1,15,
3.90737e+08,,Surface,2,Image 1,1,16,
8.63475e+07,,Surface,2,Image 1,1,17,
7.57638e+08,,Surface,2,Image 1,1,18,
1.04789e+08,,Surface,2,Image 1,1,19,
8.10762e+08,,Surface,2,Image 1,1,20,
