
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.576402,,Surface,1,0,
0.555403,,Surface,1,1,
0.639733,,Surface,1,2,
0.506508,,Surface,1,3,
0.466722,,Surface,1,4,
0.286784,,Surface,1,5,
0.746326,,Surface,1,6,
0.799752,,Surface,1,7,
0.720952,,Surface,1,8,
0.555123,,Surface,1,9,
0.822723,,Surface,1,10,
0.631178,,Surface,1,11,
0.83133,,Surface,1,12,
0.801245,,Surface,1,13,
0.331811,,Surface,1,14,
0.639039,,Surface,1,15,
0.286339,,Surface,1,16,
0.625154,,Surface,1,17,
0.212321,,Surface,1,18,
0.593577,,Surface,1,19,
0.526811,,Surface,1,20,
0.849166,,Surface,1,21,
0.685072,,Surface,1,22,
0.890312,,Surface,1,23,
0.571183,,Surface,1,24,
0.642817,,Surface,1,25,
