
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
520.802,,Surface,2,Image 1,1,0,
536.65,,Surface,2,Image 1,1,1,
730.15,,Surface,2,Image 1,1,2,
1172.04,,Surface,2,Image 1,1,3,
537.361,,Surface,2,Image 1,1,4,
490.923,,Surface,2,Image 1,1,5,
579.548,,Surface,2,Image 1,1,6,
539.576,,Surface,2,Image 1,1,7,
589.161,,Surface,2,Image 1,1,8,
655.205,,Surface,2,Image 1,1,9,
681.645,,Surface,2,Image 1,1,10,
520.452,,Surface,2,Image 1,1,11,
599.987,,Surface,2,Image 1,1,12,
632.652,,Surface,2,Image 1,1,13,
583.888,,Surface,2,Image 1,1,14,
618.526,,Surface,2,Image 1,1,15,
707.033,,Surface,2,Image 1,1,16,
580.195,,Surface,2,Image 1,1,17,
507.651,,Surface,2,Image 1,1,18,
544.767,,Surface,2,Image 1,1,19,
548.406,,Surface,2,Image 1,1,20,
972.964,,Surface,2,Image 1,1,21,
775.482,,Surface,2,Image 1,1,22,
585.001,,Surface,2,Image 1,1,23,
538.808,,Surface,2,Image 1,1,24,
584.562,,Surface,2,Image 1,1,25,
