
Area
 ==================== 
Area,Unit,Category,Time,ID,
1498.95,um^2,Surface,1,0,
1673.85,um^2,Surface,1,1,
3691.58,um^2,Surface,1,2,
2092.68,um^2,Surface,1,3,
1254.39,um^2,Surface,1,4,
1228.31,um^2,Surface,1,5,
1065.51,um^2,Surface,1,6,
9825.46,um^2,Surface,1,7,
1539.88,um^2,Surface,1,8,
8987.3,um^2,Surface,1,9,
1277.62,um^2,Surface,1,10,
3223.06,um^2,Surface,1,11,
9591.38,um^2,Surface,1,12,
5747.74,um^2,Surface,1,13,
1150.93,um^2,Surface,1,14,
6230.68,um^2,Surface,1,15,
19538.7,um^2,Surface,1,16,
3034.23,um^2,Surface,1,17,
1936.74,um^2,Surface,1,18,
4181.8,um^2,Surface,1,19,
14779.2,um^2,Surface,1,20,
3005.47,um^2,Surface,1,21,
5000.12,um^2,Surface,1,22,
15669.4,um^2,Surface,1,23,
1283.11,um^2,Surface,1,24,
12366.7,um^2,Surface,1,25,
