
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.431275,,Surface,1,0,
0.385666,,Surface,1,1,
0.580635,,Surface,1,2,
0.319772,,Surface,1,3,
0.431185,,Surface,1,4,
0.33518,,Surface,1,5,
0.372699,,Surface,1,6,
0.428812,,Surface,1,7,
0.299967,,Surface,1,8,
0.381692,,Surface,1,9,
0.487616,,Surface,1,10,
0.47801,,Surface,1,11,
0.47161,,Surface,1,12,
0.406247,,Surface,1,13,
0.326714,,Surface,1,14,
0.314374,,Surface,1,15,
0.324814,,Surface,1,16,
0.415002,,Surface,1,17,
0.458528,,Surface,1,18,
0.412458,,Surface,1,19,
0.313584,,Surface,1,20,
