
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.223571,,Surface,1,0,
0.14559,,Surface,1,1,
0.30024,,Surface,1,2,
0.119423,,Surface,1,3,
0.2729,,Surface,1,4,
0.0668458,,Surface,1,5,
0.424864,,Surface,1,6,
0.174036,,Surface,1,7,
0.0267996,,Surface,1,8,
0.142767,,Surface,1,9,
0.0992127,,Surface,1,10,
0.297051,,Surface,1,11,
0.080259,,Surface,1,12,
0.133744,,Surface,1,13,
0.0818646,,Surface,1,14,
0.0857458,,Surface,1,15,
0.041636,,Surface,1,16,
0.15154,,Surface,1,17,
0.203803,,Surface,1,18,
0.187126,,Surface,1,19,
0.0576881,,Surface,1,20,
