
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.480447,,Surface,1,0,
0.6026,,Surface,1,1,
0.494181,,Surface,1,2,
0.609946,,Surface,1,3,
0.586986,,Surface,1,4,
0.836261,,Surface,1,5,
0.247615,,Surface,1,6,
0.718815,,Surface,1,7,
0.71421,,Surface,1,8,
0.715259,,Surface,1,9,
0.753002,,Surface,1,10,
0.318747,,Surface,1,11,
0.722418,,Surface,1,12,
0.640381,,Surface,1,13,
0.858315,,Surface,1,14,
0.807378,,Surface,1,15,
0.632692,,Surface,1,16,
0.680551,,Surface,1,17,
0.558898,,Surface,1,18,
0.683058,,Surface,1,19,
0.661577,,Surface,1,20,
