
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
44,,Surface,3,Image 1,1,0,
172,,Surface,3,Image 1,1,1,
177,,Surface,3,Image 1,1,2,
168,,Surface,3,Image 1,1,3,
251,,Surface,3,Image 1,1,4,
171,,Surface,3,Image 1,1,5,
140,,Surface,3,Image 1,1,6,
215,,Surface,3,Image 1,1,7,
92,,Surface,3,Image 1,1,8,
197,,Surface,3,Image 1,1,9,
93,,Surface,3,Image 1,1,10,
233,,Surface,3,Image 1,1,11,
325,,Surface,3,Image 1,1,12,
162,,Surface,3,Image 1,1,13,
101,,Surface,3,Image 1,1,14,
86,,Surface,3,Image 1,1,15,
214,,Surface,3,Image 1,1,16,
147,,Surface,3,Image 1,1,17,
180,,Surface,3,Image 1,1,18,
306,,Surface,3,Image 1,1,19,
52,,Surface,3,Image 1,1,20,
