
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
17,,Surface,2,Image 1,1,0,
38,,Surface,2,Image 1,1,1,
96,,Surface,2,Image 1,1,2,
39,,Surface,2,Image 1,1,3,
68,,Surface,2,Image 1,1,4,
60,,Surface,2,Image 1,1,5,
82,,Surface,2,Image 1,1,6,
95,,Surface,2,Image 1,1,7,
112,,Surface,2,Image 1,1,8,
0,,Surface,2,Image 1,1,9,
24,,Surface,2,Image 1,1,10,
187,,Surface,2,Image 1,1,11,
67,,Surface,2,Image 1,1,12,
89,,Surface,2,Image 1,1,13,
32,,Surface,2,Image 1,1,14,
111,,Surface,2,Image 1,1,15,
43,,Surface,2,Image 1,1,16,
38,,Surface,2,Image 1,1,17,
