
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,0,
26.73,um,Surface,Image 1,1,1,
68.0881,um,Surface,Image 1,1,2,
57.0025,um,Surface,Image 1,1,3,
113.207,um,Surface,Image 1,1,4,
11.9266,um,Surface,Image 1,1,5,
22.5001,um,Surface,Image 1,1,6,
0,um,Surface,Image 1,1,7,
63.1959,um,Surface,Image 1,1,8,
109.202,um,Surface,Image 1,1,9,
1.83065,um,Surface,Image 1,1,10,
19.8906,um,Surface,Image 1,1,11,
29.8378,um,Surface,Image 1,1,12,
29.6973,um,Surface,Image 1,1,13,
0,um,Surface,Image 1,1,14,
1.9949,um,Surface,Image 1,1,15,
19.7848,um,Surface,Image 1,1,16,
30.4941,um,Surface,Image 1,1,17,
