
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
424.894,um,Surface,Distance from Origin,1,0,
364.274,um,Surface,Distance from Origin,1,1,
322.544,um,Surface,Distance from Origin,1,2,
305.606,um,Surface,Distance from Origin,1,3,
272.835,um,Surface,Distance from Origin,1,4,
317.62,um,Surface,Distance from Origin,1,5,
289.355,um,Surface,Distance from Origin,1,6,
309.271,um,Surface,Distance from Origin,1,7,
239.146,um,Surface,Distance from Origin,1,8,
230.091,um,Surface,Distance from Origin,1,9,
242.486,um,Surface,Distance from Origin,1,10,
198.805,um,Surface,Distance from Origin,1,11,
165.053,um,Surface,Distance from Origin,1,12,
174.628,um,Surface,Distance from Origin,1,13,
174.328,um,Surface,Distance from Origin,1,14,
169.686,um,Surface,Distance from Origin,1,15,
108.774,um,Surface,Distance from Origin,1,16,
100.615,um,Surface,Distance from Origin,1,17,
