
Intensity StdDev Ch=7 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
17574.7,,Surface,7,Image 1,1,0,
17297.7,,Surface,7,Image 1,1,1,
18575.4,,Surface,7,Image 1,1,2,
9206.15,,Surface,7,Image 1,1,3,
16316.4,,Surface,7,Image 1,1,4,
8705.12,,Surface,7,Image 1,1,5,
15948.6,,Surface,7,Image 1,1,6,
18095.6,,Surface,7,Image 1,1,7,
18869.2,,Surface,7,Image 1,1,8,
16494.7,,Surface,7,Image 1,1,9,
14829.5,,Surface,7,Image 1,1,10,
14718.9,,Surface,7,Image 1,1,11,
13965.5,,Surface,7,Image 1,1,12,
16741.4,,Surface,7,Image 1,1,13,
10134.1,,Surface,7,Image 1,1,14,
13264.8,,Surface,7,Image 1,1,15,
14129.1,,Surface,7,Image 1,1,16,
14785.1,,Surface,7,Image 1,1,17,
