
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
339,,Surface,3,Image 1,1,0,
451,,Surface,3,Image 1,1,1,
442,,Surface,3,Image 1,1,2,
381,,Surface,3,Image 1,1,3,
621,,Surface,3,Image 1,1,4,
327,,Surface,3,Image 1,1,5,
479,,Surface,3,Image 1,1,6,
945,,Surface,3,Image 1,1,7,
956,,Surface,3,Image 1,1,8,
425,,Surface,3,Image 1,1,9,
403,,Surface,3,Image 1,1,10,
884,,Surface,3,Image 1,1,11,
243,,Surface,3,Image 1,1,12,
343,,Surface,3,Image 1,1,13,
286,,Surface,3,Image 1,1,14,
861,,Surface,3,Image 1,1,15,
912,,Surface,3,Image 1,1,16,
182,,Surface,3,Image 1,1,17,
