
Area
 ==================== 
Area,Unit,Category,Time,ID,
5197.1,um^2,Surface,1,0,
897.616,um^2,Surface,1,1,
8920.9,um^2,Surface,1,2,
1128.12,um^2,Surface,1,3,
2566.35,um^2,Surface,1,4,
1267,um^2,Surface,1,5,
919.566,um^2,Surface,1,6,
1133.5,um^2,Surface,1,7,
1285.22,um^2,Surface,1,8,
3520.78,um^2,Surface,1,9,
6522.46,um^2,Surface,1,10,
846.232,um^2,Surface,1,11,
1755.75,um^2,Surface,1,12,
2463.25,um^2,Surface,1,13,
3209.97,um^2,Surface,1,14,
1200.72,um^2,Surface,1,15,
1681.21,um^2,Surface,1,16,
3120.93,um^2,Surface,1,17,
