
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
382.308,um,Surface,Distance from Origin,1,0,
361.704,um,Surface,Distance from Origin,1,1,
421.712,um,Surface,Distance from Origin,1,2,
328.63,um,Surface,Distance from Origin,1,3,
342.478,um,Surface,Distance from Origin,1,4,
319.3,um,Surface,Distance from Origin,1,5,
325.3,um,Surface,Distance from Origin,1,6,
226.232,um,Surface,Distance from Origin,1,7,
209.834,um,Surface,Distance from Origin,1,8,
305.254,um,Surface,Distance from Origin,1,9,
208.641,um,Surface,Distance from Origin,1,10,
263.886,um,Surface,Distance from Origin,1,11,
146.121,um,Surface,Distance from Origin,1,12,
138.073,um,Surface,Distance from Origin,1,13,
118.37,um,Surface,Distance from Origin,1,14,
