
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
8.47183,um,Surface,Image 1,1,0,
33.3514,um,Surface,Image 1,1,1,
0,um,Surface,Image 1,1,2,
97.4441,um,Surface,Image 1,1,3,
25.8161,um,Surface,Image 1,1,4,
75.9589,um,Surface,Image 1,1,5,
28.5849,um,Surface,Image 1,1,6,
133.477,um,Surface,Image 1,1,7,
108.719,um,Surface,Image 1,1,8,
0,um,Surface,Image 1,1,9,
80.4574,um,Surface,Image 1,1,10,
75.901,um,Surface,Image 1,1,11,
42.7105,um,Surface,Image 1,1,12,
24.7534,um,Surface,Image 1,1,13,
2.65654,um,Surface,Image 1,1,14,
