
Intensity Median Ch=7 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
2.838,,Surface,7,Image 1,1,0,
7.016,,Surface,7,Image 1,1,1,
22.872,,Surface,7,Image 1,1,2,
9.134,,Surface,7,Image 1,1,3,
2.2935,,Surface,7,Image 1,1,4,
2.9395,,Surface,7,Image 1,1,5,
14.482,,Surface,7,Image 1,1,6,
20.604,,Surface,7,Image 1,1,7,
0,,Surface,7,Image 1,1,8,
17.904,,Surface,7,Image 1,1,9,
0,,Surface,7,Image 1,1,10,
11.086,,Surface,7,Image 1,1,11,
0,,Surface,7,Image 1,1,12,
0,,Surface,7,Image 1,1,13,
5.662,,Surface,7,Image 1,1,14,
